Time resolution is 1 ps
Starting simulation...
Time:             62297000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             62463000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             62630000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             62797000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             63130000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             63380000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             63547000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             63880000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             64047000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             64213000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             64380000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             64463000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             64547000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             64630000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             64714000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             64880000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             65297000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             65380000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             65464000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             65547000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             65797000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             65880000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             66047000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             66130000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             66214000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             66630000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             66714000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             66880000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             67047000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             67130000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             67214000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             67630000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             67714000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             67797000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             67880000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             67964000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             68047000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             68214000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             68547000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             68714000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             68881000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             69297000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             69631000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             69714000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             69881000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             69964000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             70047000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             70131000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             70297000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             70381000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             70714000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             70797000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             70881000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             71047000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             71214000 | TX Debug = 0xzX | XADC Debug = 0xzZ
